object_id,centroids_x,centroids_y,aspect_ratio,area,frames,scores,counted
5206,841,1447,0.0,0.0,0,0.62,False
5206,837,1447,1.740566037735849,78228.0,1,0.58,False
5206,839,1443,1.8284313725490196,76092.0,2,0.6,False
5206,840,1445,1.7864077669902914,75808.0,3,0.6,False
5206,842,1447,1.8341708542713568,72635.0,4,0.69,False
5206,839,1448,1.8208955223880596,73566.0,5,0.7,False
5206,836,1450,1.7853658536585366,75030.0,6,0.7,False
5206,834,1449,1.7788461538461537,76960.0,7,0.69,False
5206,833,1448,1.7428571428571429,76860.0,8,0.62,False
5206,834,1448,1.7451923076923077,75504.0,9,0.59,False
5206,833,1449,1.7428571428571429,76860.0,10,0.63,False
5206,832,1453,1.6930232558139535,78260.0,11,0.63,False
5206,832,1454,1.697674418604651,78475.0,12,0.62,False
5206,832,1455,1.6559633027522935,78698.0,13,0.61,False
5206,835,1456,1.665137614678899,79134.0,14,0.67,False
5206,834,1457,1.6283185840707965,83168.0,15,0.66,False
5206,846,1451,1.8606965174129353,75174.0,16,0.72,False
5206,855,1447,1.87,74800.0,17,0.73,False
5206,858,1450,1.8275862068965518,75313.0,18,0.72,False
5206,854,1451,1.7674418604651163,81700.0,19,0.71,False
5206,849,1453,1.7183098591549295,77958.0,20,0.72,False
5206,843,1456,1.660633484162896,81107.0,21,0.66,False
5206,837,1459,1.6266666666666667,82350.0,22,0.65,False
5206,838,1458,1.6712328767123288,80154.0,23,0.68,False
5206,836,1458,1.6403508771929824,85272.0,24,0.64,False
5206,841,1460,1.6912442396313363,79639.0,25,0.69,False
5206,846,1456,1.7102803738317758,78324.0,26,0.71,False
5206,844,1454,1.669683257918552,81549.0,27,0.65,False
5206,845,1456,1.7004608294930876,80073.0,28,0.67,False
5206,838,1458,1.6359649122807018,85044.0,29,0.7,False
5206,835,1462,1.669683257918552,81549.0,30,0.7,False
5206,825,1468,1.5899581589958158,90820.0,31,0.68,False
5206,818,1470,1.563265306122449,93835.0,32,0.67,False
5206,814,1469,1.546938775510204,92855.0,33,0.69,False
5206,817,1466,1.6085106382978724,88830.0,34,0.73,False
5206,828,1459,1.7023255813953488,78690.0,35,0.74,False
5206,837,1449,1.8195121951219513,76465.0,36,0.69,False
5206,838,1449,1.7571428571428571,77490.0,37,0.68,False
5206,828,1462,1.6651982378854626,85806.0,38,0.7,False
5206,818,1469,1.6224066390041494,94231.0,39,0.7,False
5206,826,1465,1.6727272727272726,80960.0,40,0.73,False
5206,828,1462,1.6140350877192982,83904.0,41,0.64,False
5206,818,1464,1.574468085106383,86950.0,42,0.72,False
5206,810,1464,1.5120967741935485,93000.0,43,0.68,False
5206,815,1463,1.5201612903225807,93496.0,44,0.68,False
5206,825,1460,1.7149532710280373,78538.0,45,0.67,False
5206,816,1462,1.4627450980392156,95115.0,46,0.65,False
5206,824,1462,1.6238938053097345,82942.0,47,0.71,False
5206,830,1463,1.6194690265486726,82716.0,48,0.72,False
5206,832,1462,1.6428571428571428,82432.0,49,0.69,False
5206,828,1465,1.5829787234042554,87420.0,50,0.73,False
5206,825,1467,1.6593886462882097,87020.0,51,0.75,False
5206,823,1467,1.6103896103896105,85932.0,52,0.74,False
5206,819,1469,1.5798319327731092,89488.0,53,0.73,False
5206,823,1468,1.6923076923076923,82654.0,54,0.76,False
5206,819,1467,1.5454545454545454,90508.0,55,0.7,False
5206,827,1464,1.6160714285714286,81088.0,56,0.7,False
5206,829,1462,1.603448275862069,86304.0,57,0.62,False
5206,839,1458,1.7264150943396226,77592.0,58,0.66,False
5206,848,1450,1.7819905213270142,79336.0,59,0.65,False
5206,852,1443,1.7674418604651163,81700.0,60,0.74,False
5206,855,1435,1.8269230769230769,79040.0,61,0.74,False
5206,863,1432,1.8606965174129353,75174.0,62,0.79,False
5206,871,1422,1.8350515463917525,69064.0,63,0.83,False
5206,878,1410,1.8241206030150754,72237.0,64,0.82,False
5206,889,1388,1.8911917098445596,70445.0,65,0.8,False
5206,877,1376,1.6322869955156951,81172.0,66,0.74,False
5206,870,1374,1.7894736842105263,78166.0,67,0.79,False
5206,857,1366,1.6962616822429906,77682.0,68,0.74,False
5206,843,1369,1.5526315789473684,80712.0,69,0.67,False
5206,830,1374,1.512396694214876,88572.0,70,0.69,False
5206,831,1385,1.7584541062801933,75348.0,71,0.74,False
5206,837,1404,1.6866359447004609,79422.0,72,0.69,False
5206,855,1408,1.9086021505376345,66030.0,73,0.77,False
5206,853,1397,1.7621359223300972,74778.0,74,0.8,False
5206,852,1375,1.6055045871559632,76300.0,75,0.71,False
5206,864,1362,1.6790697674418604,77615.0,76,0.7,False
5206,869,1370,1.6069868995633187,84272.0,77,0.72,False
5206,873,1383,1.7201834862385321,81750.0,78,0.79,False
5206,872,1392,1.7281553398058251,73336.0,79,0.8,False
