frame_id,stem,product,object_id,area,aspect_ratio,number_of_grapes,ths1,ths2,ths3,ths4,rg1,rg2,rg3,rg4,ratio_upper_lower,ratio_left_right,mean_grape_area,mean_grape_ratio,percentage_bunch_area,compactness
293,2,28,255,12351,2.594,10,10,0,0,0,0,0,10,80,1.5,1.0,323.1,1.15,0.08,0.07
293,2,28,253,6120,1.181,19,0,0,0,0,0,0,0,100,1.11,0.9,264.58,1.05,0.15,0.06
293,2,28,258,6808,1.243,18,0,0,0,0,0,0,0,100,2.0,1.57,150.56,0.96,0.15,0.06
293,2,28,270,17480,1.937,22,0,0,0,0,0,0,0,100,1.2,1.75,201.09,1.08,0.15,0.05
293,2,28,288,10873,1.578,20,0,0,0,0,0,0,0,100,1.5,2.33,162.35,1.09,0.12,0.05
293,2,28,294,7280,1.723,9,11,22,11,0,0,0,0,55,0.5,3.5,274.44,1.01,0.08,0.07
293,2,28,275,11560,1.6,32,0,53,37,0,0,0,0,9,0.88,1.46,220.12,1.07,0.18,0.05
307,2,28,296,13650,1.648,22,0,0,4,0,0,0,4,90,1.2,1.0,341.73,1.05,0.18,0.06
307,2,28,303,17523,1.788,21,0,0,9,0,0,0,4,85,1.33,1.1,204.14,1.02,0.15,0.05
307,2,28,298,17820,1.528,7,0,0,0,0,0,0,0,100,0.0,0.75,464.71,1.02,0.06,0.07
307,2,28,307,22540,1.704,14,0,0,14,0,0,0,0,85,0.4,2.5,288.36,1.05,0.1,0.06
307,2,28,297,7381,1.984,6,0,0,0,0,0,0,0,100,0.5,1.0,326.33,1.06,0.08,0.11
396,3,26,302,7198,2.068,18,0,5,11,0,0,0,5,77,1.0,1.0,291.28,1.05,0.15,0.07
396,3,26,304,24610,2.15,8,37,0,12,0,0,0,12,37,7.0,inf,232.25,1.07,0.04,0.06
396,3,26,312,25334,2.255,40,2,97,0,0,0,0,0,0,0.6,1.11,290.48,1.09,0.14,0.04
396,3,26,325,23790,1.598,30,3,76,13,0,0,0,0,6,1.31,1.73,354.2,1.05,0.17,0.05
396,3,26,323,21168,1.81,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
396,3,26,320,8515,2.015,16,0,0,75,0,0,0,0,25,0.6,1.67,407.5,1.03,0.11,0.06
396,3,26,321,14760,2.195,9,0,0,11,0,0,0,0,88,1.25,0.5,306.67,1.03,0.07,0.07
396,3,26,326,21204,1.632,17,5,11,47,0,0,0,0,35,1.83,2.4,344.82,1.01,0.12,0.06
396,3,26,335,16896,1.833,6,33,0,0,0,0,0,0,66,1.0,0.5,329.33,1.14,0.07,0.09
396,3,26,339,17877,1.752,10,0,0,0,0,0,50,10,40,inf,0.67,324.7,1.13,0.07,0.06
396,3,26,351,20806,2.04,1,100,0,0,0,0,0,0,0,0.0,0.0,342.0,1.06,0.02,0.0
396,3,26,347,13100,0.763,24,29,0,4,0,0,16,0,50,0.71,0.85,291.96,1.11,0.15,0.05
396,3,26,345,14766,0.775,11,45,0,36,0,0,0,0,18,1.75,1.75,771.0,1.05,0.12,0.07
396,3,26,354,21924,1.88,30,0,6,43,0,0,0,0,50,0.67,1.14,343.3,1.14,0.16,0.05
396,3,26,356,22533,1.829,29,0,10,48,6,0,0,0,34,1.07,1.64,321.69,1.16,0.15,0.05
396,3,26,367,19012,1.98,32,0,0,0,0,0,0,6,93,1.13,0.88,288.75,1.13,0.17,0.05
396,3,26,355,19776,1.864,26,0,0,3,19,0,0,0,76,1.6,0.86,202.73,1.11,0.15,0.05
396,3,26,380,13520,2.112,22,0,0,31,36,0,0,0,31,1.75,0.69,358.95,1.13,0.15,0.06
396,3,26,387,13020,1.845,18,0,0,11,0,0,0,0,88,2.0,1.0,281.78,1.12,0.1,0.05
396,3,26,376,15130,1.91,24,0,8,29,45,0,0,0,16,1.67,0.71,283.54,1.09,0.13,0.05
396,3,26,397,17670,2.043,25,0,0,8,64,0,0,0,28,1.08,1.5,185.04,1.01,0.12,0.05
396,3,26,388,8694,1.826,28,0,39,32,21,0,0,0,7,0.87,1.0,445.54,1.06,0.19,0.06
400,4,33,399,26000,1.538,13,0,15,46,0,0,0,0,38,1.17,0.62,328.31,1.1,0.12,0.07
