frame_id,stem,product,object_id,area,aspect_ratio,number_of_grapes,ths1,ths2,ths3,ths4,rg1,rg2,rg3,rg4,ratio_upper_lower,ratio_left_right,mean_grape_area,mean_grape_ratio,percentage_bunch_area,compactness
305,5,32,208,9477,1.444,29,6,6,3,0,0,0,0,82,0.71,1.23,344.24,1.12,0.17,0.06
305,5,32,213,27405,1.504,18,5,0,0,0,0,0,0,94,1.57,1.57,220.06,1.03,0.11,0.06
305,5,32,221,21414,1.287,32,0,9,3,0,0,0,0,87,0.88,1.0,222.22,1.1,0.14,0.04
305,5,32,204,23436,1.524,42,7,0,7,2,0,0,2,80,1.1,1.1,236.29,1.15,0.16,0.04
305,5,32,212,20001,1.566,30,3,16,3,0,0,0,0,76,1.14,0.88,355.6,1.11,0.16,0.05
305,5,32,230,27348,1.643,10,10,40,20,0,0,0,0,30,1.5,1.0,246.1,1.12,0.1,0.08
305,5,32,216,18334,1.728,19,15,42,5,0,0,0,0,36,2.17,1.71,513.05,1.16,0.14,0.06
305,5,32,228,20610,2.544,8,12,0,12,0,0,0,0,75,0.6,1.0,351.62,1.19,0.06,0.07
305,5,32,240,19200,2.083,28,0,57,17,0,0,3,0,21,1.0,0.65,485.64,1.23,0.17,0.05
305,5,32,231,17176,1.345,18,0,5,5,5,0,0,0,83,1.25,2.0,384.61,1.18,0.16,0.07
305,5,32,246,16128,1.286,47,0,42,8,0,0,0,2,46,2.62,1.24,367.38,1.29,0.2,0.04
305,5,32,226,6262,1.629,36,0,19,25,0,0,0,0,55,1.12,0.71,353.22,1.29,0.2,0.05
305,5,32,245,6993,1.762,25,0,12,12,0,0,0,0,76,1.5,0.79,257.28,1.23,0.16,0.06
305,5,32,239,7728,1.623,15,6,0,13,0,0,0,0,80,2.75,1.14,274.4,1.13,0.11,0.06
305,5,32,249,11088,2.139,22,0,4,0,0,0,0,4,90,1.75,1.2,266.27,1.16,0.12,0.05
305,5,32,261,7215,1.708,21,0,4,4,0,0,0,0,90,1.33,1.1,169.05,1.24,0.18,0.06
305,5,32,244,8576,1.91,13,0,7,0,0,0,0,0,92,1.6,0.62,214.62,1.2,0.11,0.07
305,5,32,255,8500,1.838,21,4,14,33,0,0,0,0,47,2.0,0.62,147.57,1.2,0.12,0.06
305,5,32,257,8820,1.8,23,0,26,13,0,0,0,4,56,3.6,0.92,176.43,1.27,0.12,0.05
305,5,32,258,25300,1.913,15,0,0,0,0,0,0,13,86,4.0,1.14,226.67,1.27,0.11,0.06
305,5,32,266,9180,1.985,11,0,0,0,0,0,0,0,100,0.57,1.2,440.0,1.19,0.11,0.09
305,5,32,272,10008,1.931,26,3,0,0,0,0,0,3,92,2.25,1.0,359.04,1.19,0.12,0.05
388,7,24,298,7280,2.321,17,5,0,17,0,0,0,5,70,4.67,0.42,236.06,1.08,0.08,0.05
388,7,24,300,19170,2.367,22,22,13,4,0,0,0,0,59,1.44,1.0,608.86,1.23,0.13,0.06
388,7,24,317,15438,2.241,19,15,63,0,0,0,0,0,21,1.71,0.9,473.26,1.13,0.17,0.07
388,7,24,303,5022,1.306,33,27,3,3,0,0,0,0,66,0.94,0.83,423.03,1.18,0.17,0.05
