object_id,centroids_x,centroids_y,aspect_ratio,area,frames,scores,counted
4430,1024,1448,0.0,0.0,0,0.52,False
4430,1026,1451,8.04516129032258,193285.0,1,0.78,False
4430,1028,1455,7.394117647058824,213690.0,2,0.83,False
4430,1028,1462,6.926553672316384,217002.0,3,0.77,False
4430,1029,1472,6.521739130434782,220800.0,4,0.85,False
4430,1029,1476,6.160804020100502,243974.0,5,0.77,False
4430,1029,1477,5.921951219512195,248870.0,6,0.77,False
4430,1029,1478,5.767772511848341,256787.0,7,0.74,False
4430,1032,1477,5.699530516431925,258582.0,8,0.65,False
4430,1038,1477,5.775700934579439,264504.0,9,0.89,False
4430,1041,1477,5.63302752293578,267704.0,10,0.82,False
4429,71,1306,0.0,0.0,0,0.26,True
4429,77,1294,8.04516129032258,193285.0,1,0.57,True
4429,84,1290,7.394117647058824,213690.0,2,0.4,True
4429,88,1302,6.926553672316384,217002.0,3,0.36,True
4429,92,1317,6.521739130434782,220800.0,4,0.48,True
4429,98,1310,6.160804020100502,243974.0,5,0.5,True
4429,105,1313,5.921951219512195,248870.0,6,0.49,True
4429,115,1312,5.767772511848341,256787.0,7,0.37,True
4429,131,1310,5.699530516431925,258582.0,8,0.49,True
4429,154,1302,5.775700934579439,264504.0,9,0.37,True
4429,179,1304,5.63302752293578,267704.0,10,0.12,True
4429,200,1295,5.489082969432315,287853.0,11,0.87,True
4429,219,1290,5.439655172413793,292784.0,12,0.9,True
4429,239,1295,5.386956521739131,284970.0,13,0.89,True
4429,260,1293,5.732718894009216,269948.0,14,0.86,True
4429,281,1290,5.30379746835443,297909.0,15,0.88,True
4429,301,1282,5.174089068825911,315666.0,16,0.9,True
4429,320,1280,5.2809917355371905,309276.0,17,0.88,True
4429,334,1267,5.06949806949807,340067.0,18,0.9,True
4429,363,1264,5.2631578947368425,321100.0,19,0.87,True
4429,381,1255,5.061068702290076,347412.0,20,0.9,True
4429,398,1252,5.1434108527131785,342366.0,21,0.91,True
4429,411,1252,5.286852589641434,333077.0,22,0.9,True
4429,425,1245,5.153256704980843,351045.0,23,0.89,True
4429,437,1233,5.092936802973978,368530.0,24,0.83,True
4429,450,1230,5.116104868913857,364722.0,25,0.81,True
4429,466,1228,5.108208955223881,366892.0,26,0.87,True
4429,479,1223,5.293893129770993,363394.0,27,0.88,True
4429,488,1216,5.158088235294118,381616.0,28,0.9,True
4429,501,1209,5.327067669172933,376922.0,29,0.91,True
4429,512,1201,5.318518518518519,387720.0,30,0.92,True
4429,530,1196,5.538461538461538,374400.0,31,0.91,True
4429,545,1195,5.369402985074627,385652.0,32,0.89,True
4429,563,1191,5.528735632183908,376623.0,33,0.81,True
4429,586,1296,4.8652173913043475,257370.0,34,0.86,True
4429,599,1232,5.682539682539683,360864.0,35,0.66,True
4429,609,1209,5.413533834586466,383040.0,36,0.9,True
